t,phase,min_front,min_left,min_right,speed,yaw,dist_to_wp,bearing_to_wp,rc_throttle_norm,rc_yaw_norm
132.046,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0040,0.000,0.0000,0.000,0.000
132.144,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0040,0.000,0.0000,0.000,0.000
132.244,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0040,0.000,0.0000,0.000,0.000
132.344,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0041,0.000,0.0000,0.000,0.000
132.444,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0041,0.000,0.0000,0.000,0.000
132.544,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0042,0.000,0.0000,0.000,0.000
132.644,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0042,0.000,0.0000,0.000,0.000
132.744,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0042,0.000,0.0000,0.000,0.000
132.844,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0043,0.000,0.0000,0.000,0.000
132.944,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0043,0.000,0.0000,0.000,0.000
133.044,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0043,0.000,0.0000,0.000,0.000
133.144,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0043,0.000,0.0000,0.000,0.000
133.244,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0043,0.000,0.0000,0.000,0.000
133.344,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0044,0.000,0.0000,0.000,0.000
133.444,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0044,0.000,0.0000,0.000,0.000
133.544,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0045,0.000,0.0000,0.000,0.000
133.644,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0045,0.000,0.0000,0.000,0.000
133.744,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0045,0.000,0.0000,0.000,0.000
133.844,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0046,0.000,0.0000,0.000,0.000
133.944,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0046,0.000,0.0000,0.000,0.000
134.044,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0047,0.000,0.0000,0.000,0.000
134.144,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0047,0.000,0.0000,0.000,0.000
134.244,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0047,0.000,0.0000,0.000,0.000
134.344,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0048,0.000,0.0000,0.000,0.000
134.444,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0048,0.000,0.0000,0.000,0.000
134.544,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0048,0.000,0.0000,0.000,0.000
134.644,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0048,0.000,0.0000,0.000,0.000
134.744,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0048,0.000,0.0000,0.000,0.000
134.844,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0049,0.000,0.0000,0.000,0.000
134.944,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0049,0.000,0.0000,0.000,0.000
135.044,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0050,0.000,0.0000,0.000,0.000
135.144,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0050,0.000,0.0000,0.000,0.000
135.244,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0050,0.000,0.0000,0.000,0.000
135.344,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0051,0.000,0.0000,0.000,0.000
135.444,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0051,0.000,0.0000,0.000,0.000
135.544,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0052,0.000,0.0000,0.000,0.000
135.644,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0052,0.000,0.0000,0.000,0.000
135.744,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0052,0.000,0.0000,0.000,0.000
135.844,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0053,0.000,0.0000,0.000,0.000
135.944,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0053,0.000,0.0000,0.000,0.000
136.044,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0053,0.000,0.0000,0.000,0.000
136.144,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0053,0.000,0.0000,0.000,0.000
136.244,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0053,0.000,0.0000,0.000,0.000
136.344,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0054,0.000,0.0000,0.000,0.000
136.444,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0054,0.000,0.0000,0.000,0.000
136.544,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0055,0.000,0.0000,0.000,0.000
136.644,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0055,0.000,0.0000,0.000,0.000
136.744,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0055,0.000,0.0000,0.000,0.000
136.844,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0056,0.000,0.0000,0.000,0.000
136.944,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0056,0.000,0.0000,0.000,0.000
137.044,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0057,0.000,0.0000,0.000,0.000
137.146,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0057,0.000,0.0000,0.000,0.000
137.244,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0057,0.000,0.0000,0.000,0.000
137.344,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0058,0.000,0.0000,0.000,0.000
137.444,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0058,0.000,0.0000,0.000,0.000
137.544,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0058,0.000,0.0000,0.000,0.000
137.644,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0058,0.000,0.0000,0.000,0.000
137.744,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0058,0.000,0.0000,0.000,0.000
137.844,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0059,0.000,0.0000,0.000,0.000
137.944,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0059,0.000,0.0000,0.000,0.000
138.044,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0060,0.000,0.0000,0.000,0.000
138.144,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0060,0.000,0.0000,0.000,0.000
138.244,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0060,0.000,0.0000,0.000,0.000
138.344,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0061,0.000,0.0000,0.000,0.000
138.444,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0061,0.000,0.0000,0.000,0.000
138.544,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0062,0.000,0.0000,0.000,0.000
138.644,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0062,0.000,0.0000,0.000,0.000
138.744,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0062,0.000,0.0000,0.000,0.000
138.844,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0062,0.000,0.0000,0.000,0.000
138.944,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0062,0.000,0.0000,0.000,0.000
139.044,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0063,0.000,0.0000,0.000,0.000
139.144,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0063,0.000,0.0000,0.000,0.000
139.244,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0063,0.000,0.0000,0.000,0.000
139.344,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0064,0.000,0.0000,0.000,0.000
139.444,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0064,0.000,0.0000,0.000,0.000
139.544,pretrain,50.0000,50.0000,50.0000,0.0278,-0.0065,0.000,0.0000,0.000,0.000
139.644,pretrain,50.0000,50.0000,50.0000,0.0278,-0.0065,0.000,0.0000,0.000,0.000
139.744,pretrain,50.0000,50.0000,50.0000,0.0278,-0.0065,0.000,0.0000,0.000,0.000
139.844,pretrain,50.0000,50.0000,50.0000,0.0283,-0.0066,0.000,0.0000,0.000,0.000
139.944,pretrain,50.0000,50.0000,50.0000,0.0283,-0.0066,0.000,0.0000,0.000,0.000
140.044,pretrain,50.0000,50.0000,50.0000,0.0280,-0.0066,0.000,0.0000,0.000,0.000
140.144,pretrain,50.0000,50.0000,50.0000,0.0280,-0.0066,0.000,0.0000,0.000,0.000
140.244,pretrain,50.0000,50.0000,50.0000,0.0280,-0.0066,0.000,0.0000,0.000,0.000
140.344,pretrain,50.0000,50.0000,50.0000,0.0279,-0.0067,0.000,0.0000,0.000,0.000
140.444,pretrain,50.0000,50.0000,50.0000,0.0279,-0.0067,0.000,0.0000,0.000,0.000
140.544,pretrain,50.0000,50.0000,50.0000,0.0279,-0.0068,0.000,0.0000,0.000,0.000
140.644,pretrain,50.0000,50.0000,50.0000,0.0279,-0.0068,0.000,0.0000,0.000,0.000
140.744,pretrain,50.0000,50.0000,50.0000,0.0279,-0.0068,0.000,0.0000,0.000,0.000
140.844,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0069,0.000,0.0000,0.000,0.000
140.944,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0069,0.000,0.0000,0.000,0.000
141.044,pretrain,50.0000,50.0000,50.0000,0.0280,-0.0070,0.000,0.0000,0.000,0.000
141.144,pretrain,50.0000,50.0000,50.0000,0.0280,-0.0070,0.000,0.0000,0.000,0.000
141.244,pretrain,50.0000,50.0000,50.0000,0.0280,-0.0070,0.000,0.0000,0.000,0.000
141.344,pretrain,50.0000,50.0000,50.0000,0.0278,-0.0070,0.000,0.0000,0.000,0.000
141.444,pretrain,50.0000,50.0000,50.0000,0.0278,-0.0070,0.000,0.0000,0.000,0.000
141.544,pretrain,50.0000,50.0000,50.0000,0.0279,-0.0071,0.000,0.0000,0.000,0.000
141.644,pretrain,50.0000,50.0000,50.0000,0.0279,-0.0071,0.000,0.0000,0.000,0.000
141.744,pretrain,50.0000,50.0000,50.0000,0.0279,-0.0071,0.000,0.0000,0.000,0.000
141.844,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0072,0.000,0.0000,0.000,0.000
141.944,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0072,0.000,0.0000,0.000,0.000
142.044,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0072,0.000,0.0000,0.000,0.000
142.144,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0072,0.000,0.0000,0.000,0.000
142.246,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0072,0.000,0.0000,0.000,0.000
142.344,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0072,0.000,0.0000,0.000,0.000
142.444,pretrain,50.0000,50.0000,50.0000,0.0281,-0.0072,0.000,0.0000,0.000,0.000
142.544,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0074,0.000,0.0000,0.000,0.000
142.644,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0074,0.000,0.0000,0.000,0.000
142.744,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0074,0.000,0.0000,0.000,0.000
142.844,pretrain,50.0000,50.0000,50.0000,0.0278,-0.0075,0.000,0.0000,0.000,0.000
142.944,pretrain,50.0000,50.0000,50.0000,0.0278,-0.0075,0.000,0.0000,0.000,0.000
143.044,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0076,0.000,0.0000,0.000,0.000
143.144,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0076,0.000,0.0000,0.000,0.000
143.244,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0076,0.000,0.0000,0.000,0.000
143.344,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0076,0.000,0.0000,0.000,0.000
143.444,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0076,0.000,0.0000,0.000,0.000
143.544,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0077,0.000,0.0000,0.000,0.000
143.644,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0077,0.000,0.0000,0.000,0.000
143.744,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0077,0.000,0.0000,0.000,0.000
143.844,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0078,0.000,0.0000,0.000,0.000
143.944,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0078,0.000,0.0000,0.000,0.000
144.044,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0078,0.000,0.0000,0.000,0.000
144.144,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0078,0.000,0.0000,0.000,0.000
144.244,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0078,0.000,0.0000,0.000,0.000
144.344,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0079,0.000,0.0000,0.000,0.000
144.444,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0079,0.000,0.0000,0.000,0.000
144.544,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0080,0.000,0.0000,0.000,0.000
144.644,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0080,0.000,0.0000,0.000,0.000
144.744,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0080,0.000,0.0000,0.000,0.000
144.844,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0081,0.000,0.0000,0.000,0.000
144.944,pretrain,50.0000,50.0000,50.0000,0.0276,-0.0081,0.000,0.0000,0.000,0.000
145.044,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0081,0.000,0.0000,0.000,0.000
145.144,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0081,0.000,0.0000,0.000,0.000
145.244,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0081,0.000,0.0000,0.000,0.000
145.344,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0082,0.000,0.0000,0.000,0.000
145.444,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0082,0.000,0.0000,0.000,0.000
145.544,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0083,0.000,0.0000,0.000,0.000
145.644,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0083,0.000,0.0000,0.000,0.000
145.744,pretrain,50.0000,50.0000,50.0000,0.0275,-0.0083,0.000,0.0000,0.000,0.000
145.844,pretrain,50.0000,50.0000,50.0000,0.0280,-0.0083,0.000,0.0000,0.000,0.000
